sAddress,rAddress,sIPs,rIPs,protocol,duration,sBytesSum,rBytesSum,sBytesMin,rBytesMin,sBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,sWinTCP,rWinTCP,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,Label,AttackType
16,4,7,1,2,0.436572,650,952,65.0,52.0,65.0,11910.982,17445.008,130,120,13.0,12.0,13.0,0.0,13.0,7.5,0.0484321117401123,0.0290680567423502,64.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,509.0,502.0,0.13,0.001,0.051,0.000685,0.08667,0,BAD-MITM
30,10,20,7,0,0.230523,120,480,60.0,60.0,60.0,4164.441,16657.763,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,0.0329317365373883,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MITM
31,11,20,7,0,0.049982,360,0,60.0,52.0,60.0,57620.883,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,0.0099961757659912,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MITM
16,4,7,1,2,0.466686,1430,2344,65.0,52.0,65.0,24513.267,40181.188,286,264,13.0,12.0,13.0,0.0,13.0,6.6,0.0221844287145705,0.0119662835047795,64.0,0.0,0.0,1.0,0.55,0.0,0.0,0.0,509.0,502.0,0.353,0.0,0.0,0.000623,0.02828,0,BAD-MITM
30,10,20,7,0,0.23976,120,480,60.0,60.0,60.0,4004.005,16016.018,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342512811933245,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MITM
31,11,20,7,0,0.055716,360,0,60.0,52.0,60.0,51690.86,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,0.0111429691314697,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MITM
16,4,7,1,2,0.465399,390,696,65.0,52.0,65.0,6703.924,11963.926,78,72,13.0,12.0,13.0,0.0,13.0,6.0,0.0692087650299072,0.0423089157451282,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.179,0.001,0.105,0.000743,0.137589,0,BAD-MITM
16,4,7,1,2,0.468713,650,640,65.0,64.0,65.0,11094.213,10923.532,130,120,13.0,12.0,13.0,12.0,13.0,12.0,0.0519909858703613,0.0520044432746039,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,509.0,502.0,0.124,0.001,0.107,0.000674,0.116334,0,BAD-MITM
16,4,7,1,2,0.493962,650,1056,65.0,52.0,65.0,10527.124,17102.527,130,120,13.0,12.0,13.0,0.0,13.0,6.667,0.0478086736467149,0.0290130026200238,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.124,0.001,0.049,0.000759,0.083206,0,BAD-MITM
16,4,7,1,2,0.448539,780,1080,65.0,52.0,65.0,13911.839,19262.546,156,144,13.0,12.0,13.0,0.0,13.0,8.0,0.0407288074493408,0.0263514097999123,64.0,0.0,0.0,1.0,0.667,0.0,0.0,0.0,509.0,502.0,0.123,0.001,0.05,0.000623,0.07797,0,BAD-MITM
16,4,7,1,2,0.499944,780,1080,65.0,52.0,65.0,12481.397,17281.935,156,144,13.0,12.0,13.0,0.0,13.0,8.0,0.0348860784010453,0.0294084128211526,64.0,0.0,0.0,1.0,0.667,0.0,0.0,0.0,509.0,502.0,0.143,0.001,0.05,0.000684,0.072835,0,BAD-MITM
30,10,20,7,0,0.226257,120,480,60.0,60.0,60.0,4242.96,16971.841,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,0.0323223045894077,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MITM
31,11,20,7,0,0.051171,360,0,60.0,52.0,60.0,56282.019,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,0.0102339744567871,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MITM
16,4,7,1,2,0.240796,390,592,65.0,52.0,65.0,12957.031,19668.109,78,72,13.0,12.0,13.0,0.0,13.0,7.2,0.047891616821289,0.0266664293077256,64.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,509.0,502.0,0.135,0.001,0.05,0.000896,0.08877,0,BAD-MITM
30,10,20,7,0,0.231028,120,480,60.0,60.0,60.0,4155.342,16621.37,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,0.0330038411276681,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MITM
16,4,7,1,2,0.499959,1040,1880,65.0,52.0,65.0,16641.363,30082.464,208,216,13.0,12.0,13.0,0.0,13.0,6.75,0.0006301403045654,0.0161276786558089,64.0,0.0,0.0,1.0,0.562,0.0,0.0,0.0,509.0,502.0,0.49,0.0,0.0,0.000738,0.035976,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.499734,910,1624,65.0,52.0,65.0,14567.751,25997.832,182,168,13.0,12.0,13.0,0.0,13.0,6.0,0.0383860698113074,0.0185086285626446,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.494,0.0,0.0,0.000443,0.041602,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.479069,2478,1866,52.0,52.0,59.0,41380.278,31160.451,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116685076457698,0.0164986889937828,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.001,0.0,0.022384,0.028937,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.490691,2080,3064,65.0,52.0,65.0,33911.362,49954.045,416,360,13.0,12.0,13.0,0.0,13.0,6.923,0.0158287094485375,0.0096060621972177,64.0,0.0,0.0,1.0,0.577,0.0,0.0,0.0,509.0,502.0,0.475,0.0,0.0,0.000496,0.018714,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.479267,2478,1866,52.0,52.0,59.0,41363.171,31147.57,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116768290356891,0.0165092369605754,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.0,0.0,0.020252,0.02897,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.486224,1040,1856,65.0,52.0,65.0,17111.455,30537.367,208,192,13.0,12.0,13.0,0.0,13.0,6.0,0.0323734601338704,0.0156846123356972,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.479,0.0,0.0,0.00046,0.032303,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.479724,2478,1866,52.0,52.0,59.0,41323.763,31117.894,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116843421284745,0.0165236571739459,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.0,0.0,0.020294,0.028891,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.47473,1040,1960,65.0,52.0,65.0,17525.749,33029.297,208,192,13.0,12.0,13.0,0.0,13.0,5.647,0.0005275885264078,0.0143857291250517,64.0,0.0,0.0,1.0,0.471,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000563,0.000456,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.004916,650,1160,65.0,52.0,65.0,1057770.759,1887713.969,130,120,13.0,12.0,13.0,0.0,13.0,6.0,0.0004633532630072,0.0002586841583251,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000444,0.000414,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.479128,2478,1866,52.0,52.0,59.0,41375.171,31156.606,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116727817349317,0.01649861500181,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.0,0.0,0.020294,0.02892,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.487799,1300,2008,65.0,52.0,65.0,21320.258,32931.598,260,240,13.0,12.0,13.0,0.0,13.0,7.059,0.025641215474982,0.0147666353167909,64.0,0.0,0.0,1.0,0.588,0.0,0.0,0.0,509.0,502.0,0.479,0.0,0.0,0.000466,0.030326,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.478511,2478,1866,52.0,52.0,59.0,41428.502,31196.766,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116536849882544,0.0164828629329286,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.0,0.0,0.020244,0.028939,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.491736,2080,3192,65.0,52.0,65.0,33839.297,51930.306,416,384,13.0,12.0,13.0,0.0,13.0,7.111,0.0158351928957047,0.0092780185195634,64.0,0.0,0.0,1.0,0.593,0.0,0.0,0.0,509.0,502.0,0.474,0.0,0.0,0.00055,0.02026,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.050746,1040,1440,65.0,52.0,65.0,163953.776,227012.92,208,192,13.0,12.0,13.0,0.0,13.0,8.0,0.0005273342132568,0.0022063047989555,64.0,0.0,0.0,1.0,0.667,0.0,0.0,0.0,509.0,502.0,0.042,0.001,0.0,0.000541,0.004291,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.459286,650,1264,65.0,52.0,65.0,11321.921,22016.782,130,120,13.0,12.0,13.0,0.0,13.0,5.455,0.0004360940721299,0.0218707152775355,64.0,0.0,0.0,1.0,0.455,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000496,0.000374,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.479368,2374,1866,52.0,52.0,59.35,39618.83,31141.001,294,306,13.0,13.0,0.0,0.0,7.35,10.2,0.0122711047148093,0.0165105441520954,64.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,503.05,506.2,0.2,0.001,0.0,0.023475,0.028953,0,BAD-MISCONF-DUPLICATION
29,11,20,7,0,6e-06,180,0,60.0,52.0,60.0,239728700.582,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,2.5033950805664062e-06,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.463059,2080,3608,65.0,52.0,65.0,35934.928,62333.278,416,384,13.0,12.0,13.0,0.0,13.0,6.194,0.0149057449833039,0.0075814450373415,64.0,0.0,0.0,1.0,0.516,0.0,0.0,0.0,509.0,502.0,0.446,0.0,0.0,0.000534,0.015295,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.47944,2478,1866,52.0,52.0,59.0,41348.238,31136.324,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116793178930515,0.0165203110925082,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.0,0.0,0.020301,0.028965,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.459666,1300,2320,65.0,52.0,65.0,22625.132,40377.159,260,240,13.0,12.0,13.0,0.0,13.0,6.0,0.0241437334763376,0.0117862774775578,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.45,0.0,0.0,0.000497,0.024074,0,BAD-MISCONF-DUPLICATION
29,11,20,7,0,5e-06,180,0,60.0,52.0,60.0,284972687.001,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,2.026557922363281e-06,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.478786,2270,1866,52.0,52.0,59.737,37929.26,31178.854,294,306,13.0,13.0,0.0,0.0,7.737,10.2,0.0129101083085343,0.016509828896358,64.0,0.0,0.0,0.632,0.8,0.0,0.0,0.0,503.105,506.2,0.199,0.0,0.0,0.022486,0.028891,0,BAD-MISCONF-DUPLICATION
27,7,18,4,1,1e-06,40,0,40.0,52.0,40.0,320000000.0,0.0,8,0,8.0,12.0,8.0,0.0,8.0,6.75,0.0113731942525724,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.458563,1040,1960,65.0,52.0,65.0,18143.63,34193.765,208,192,13.0,12.0,13.0,0.0,13.0,5.647,0.0005453904469807,0.0138958222938306,64.0,0.0,0.0,1.0,0.471,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000565,0.000449,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.045083,650,952,65.0,52.0,65.0,115342.576,168932.511,130,120,13.0,12.0,13.0,0.0,13.0,7.5,0.0004427697923448,0.0030054728190104,64.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,509.0,502.0,0.041,0.0,0.0,0.000439,0.006215,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.480558,1886,1476,52.0,52.0,58.938,31396.837,24571.438,222,228,13.0,13.0,0.0,0.0,6.938,9.5,0.0154846099115187,0.0174510893614395,64.0,0.0,0.0,0.562,0.75,0.0,0.0,0.0,503.312,505.5,0.199,0.0,0.0,0.01473,0.036715,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.40333,2348,1634,52.0,52.0,58.7,46572.27,32410.174,268,282,13.0,13.0,0.0,0.0,6.7,10.846,0.0103417726663442,0.0160902023315429,64.0,0.0,0.0,0.55,0.846,0.0,0.0,0.0,502.7,506.846,0.199,0.0,0.0,0.021269,0.017069,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.492499,2080,3608,65.0,52.0,65.0,33786.876,58607.235,416,384,13.0,12.0,13.0,0.0,13.0,6.194,0.0158557430390388,0.0080737364096719,64.0,0.0,0.0,1.0,0.516,0.0,0.0,0.0,509.0,502.0,0.475,0.0,0.0,0.000581,0.017623,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.488203,1300,2320,65.0,52.0,65.0,21302.62,38016.984,260,240,13.0,12.0,13.0,0.0,13.0,6.0,0.0256424828579551,0.0125179963234143,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.479,0.0,0.0,0.000454,0.025575,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.479537,2478,1866,52.0,52.0,59.0,41339.871,31130.024,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116777827100055,0.0165169321257492,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.0,0.0,0.020309,0.028902,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.050726,1040,1856,65.0,52.0,65.0,164018.506,292709.95,208,192,13.0,12.0,13.0,0.0,13.0,6.0,0.0005081335703531,0.0016362897811397,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.043,0.0,0.0,0.000528,0.003224,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.045857,650,952,65.0,52.0,65.0,113395.994,166081.518,130,120,13.0,12.0,13.0,0.0,13.0,7.5,0.0004919105105929,0.0030570665995279,64.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,509.0,502.0,0.041,0.0,0.0,0.00053,0.006284,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.477916,2374,1866,52.0,52.0,59.35,39739.217,31235.627,294,306,13.0,13.0,0.0,0.0,7.35,10.2,0.0122258968842335,0.0164798210407125,64.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,503.05,506.2,0.199,0.0,0.0,0.021279,0.0289,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.009076,1040,1856,65.0,52.0,65.0,916710.83,1635976.25,208,192,13.0,12.0,13.0,0.0,13.0,6.0,0.0005314668019612,0.0002927395605271,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000591,0.000416,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.00531,650,1160,65.0,52.0,65.0,979265.02,1747611.42,130,120,13.0,12.0,13.0,0.0,13.0,6.0,0.0004851288265652,0.000279426574707,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.00052,0.000429,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.480357,1886,1476,52.0,52.0,58.938,31409.974,24581.718,222,228,13.0,13.0,0.0,0.0,6.938,9.5,0.0154782264463363,0.0174275688503099,64.0,0.0,0.0,0.562,0.75,0.0,0.0,0.0,503.312,505.5,0.2,0.0,0.0,0.014642,0.036662,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.4921,2080,3504,65.0,52.0,65.0,33814.262,56964.026,416,384,13.0,12.0,13.0,0.0,13.0,6.4,0.0158490980825116,0.0083320504527981,64.0,0.0,0.0,1.0,0.533,0.0,0.0,0.0,509.0,502.0,0.475,0.0,0.0,0.000584,0.016785,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.404311,2348,1634,52.0,52.0,58.7,46459.286,32331.548,268,282,13.0,13.0,0.0,0.0,6.7,10.846,0.010366922769791,0.0161253929138183,64.0,0.0,0.0,0.55,0.846,0.0,0.0,0.0,502.7,506.846,0.199,0.0,0.0,0.02132,0.01715,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.488128,1300,2320,65.0,52.0,65.0,21305.887,38022.814,260,240,13.0,12.0,13.0,0.0,13.0,6.0,0.0256365349418238,0.0125160767481877,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.479,0.0,0.0,0.000505,0.025562,0,BAD-MISCONF-DUPLICATION
27,7,18,4,1,1e-06,40,0,40.0,52.0,40.0,320000000.0,0.0,8,0,8.0,12.0,8.0,0.0,8.0,6.75,0.0113731942525724,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.458089,1040,1960,65.0,52.0,65.0,18162.413,34229.162,208,192,13.0,12.0,13.0,0.0,13.0,5.647,0.0005214691162109,0.0138814521558357,64.0,0.0,0.0,1.0,0.471,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000511,0.000453,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.045817,650,952,65.0,52.0,65.0,113494.537,166225.846,130,120,13.0,12.0,13.0,0.0,13.0,7.5,0.0004571013980441,0.0030544122060139,64.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,509.0,502.0,0.041,0.0,0.0,0.000449,0.00632,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.479439,2478,1866,52.0,52.0,59.0,41348.341,31136.402,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116767534395543,0.016509409608512,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.0,0.0,0.020291,0.028946,0,BAD-MISCONF-DUPLICATION
29,11,20,7,0,5e-06,180,0,60.0,52.0,60.0,284972687.001,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,2.026557922363281e-06,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.009146,1040,1856,65.0,52.0,65.0,909708.877,1623480.457,208,192,13.0,12.0,13.0,0.0,13.0,6.0,0.0005351225535074,0.0002949930006457,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.001,0.0,0.00057,0.00046,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.005269,650,1160,65.0,52.0,65.0,986931.039,1761292.316,130,120,13.0,12.0,13.0,0.0,13.0,6.0,0.0004643334282769,0.0002772557108025,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000527,0.000431,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.477838,2374,1866,52.0,52.0,59.35,39745.681,31240.708,294,306,13.0,13.0,0.0,0.0,7.35,10.2,0.0122245947519938,0.0164771408870302,64.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,503.05,506.2,0.2,0.0,0.0,0.021297,0.028961,0,BAD-MISCONF-DUPLICATION
16,4,7,1,2,0.009965,1040,1856,65.0,52.0,65.0,834923.128,1490016.659,208,192,13.0,12.0,13.0,0.0,13.0,6.0,0.0005919297536214,0.0003214190083165,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.00051,0.000568,0,BAD-MISCONF-DUPLICATION
17,4,8,1,2,0.005852,650,1160,65.0,52.0,65.0,888580.491,1585774.414,130,120,13.0,12.0,13.0,0.0,13.0,6.0,0.0005238850911458,0.0003079489657753,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000531,0.000517,0,BAD-MISCONF-DUPLICATION
16,3,7,0,2,0.479785,1886,1476,52.0,52.0,58.938,31447.418,24611.023,222,228,13.0,13.0,0.0,0.0,6.938,9.5,0.0154588991595852,0.0173972171285878,64.0,0.0,0.0,0.562,0.75,0.0,0.0,0.0,503.312,505.5,0.199,0.001,0.0,0.014669,0.036559,0,BAD-MISCONF-DUPLICATION
29,11,20,7,0,5e-06,180,0,60.0,52.0,60.0,284972687.001,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,2.026557922363281e-06,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,0,BAD-MISCONF-DUPLICATION
