sAddress,rAddress,sIPs,rIPs,protocol,duration,sBytesSum,rBytesSum,sBytesMin,rBytesMin,sBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,sWinTCP,rWinTCP,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,Label
29,11,20,7,0,5e-06,180,0,60.0,52.0,60.0,284972687.001,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,2.026557922363281e-06,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,1
16,3,7,0,2,0.479489,2478,1866,52.0,52.0,59.0,41344.003,31133.135,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116770965297047,0.0165154522862927,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.001,0.0,0.02236,0.028915,1
16,4,7,1,2,0.47658,2080,3712,65.0,52.0,65.0,34915.443,62310.636,416,384,13.0,12.0,13.0,0.0,13.0,6.0,0.0153484882846955,0.0075647452520945,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.457,0.0,0.0,0.000553,0.015255,1
17,4,8,1,2,0.470548,1300,2112,65.0,52.0,65.0,22101.892,35907.073,260,240,13.0,12.0,13.0,0.0,13.0,6.667,0.0247286369926051,0.0134441988808768,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.458,0.0,0.0,0.00065,0.029895,1
16,3,7,0,2,0.479167,2478,1866,52.0,52.0,59.0,41371.795,31154.063,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116749275021436,0.0165051427380792,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.0,0.0,0.020219,0.02896,1
16,4,7,1,2,0.049742,1040,1336,65.0,52.0,65.0,167262.977,214868.594,208,192,13.0,12.0,13.0,0.0,13.0,8.727,0.0005002657572428,0.0023686204637799,64.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,509.0,502.0,0.042,0.0,0.0,0.000504,0.004641,1
17,4,8,1,2,0.004932,650,1160,65.0,52.0,65.0,1054293.805,1881508.945,130,120,13.0,12.0,13.0,0.0,13.0,6.0,0.0004519091712103,0.0002595374458714,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000507,0.00038,1
16,3,7,0,2,0.479144,2374,1866,52.0,52.0,59.35,39637.341,31155.551,294,306,13.0,13.0,0.0,0.0,7.35,10.2,0.0122618491833026,0.0165043452690387,64.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,503.05,506.2,0.199,0.001,0.0,0.023458,0.028926,1
16,4,7,1,2,0.499947,1040,1984,65.0,52.0,65.0,16641.76,31747.358,208,216,13.0,12.0,13.0,0.0,13.0,6.353,0.0005374749501546,0.0151498823454885,64.0,0.0,0.0,1.0,0.529,0.0,0.0,0.0,509.0,502.0,0.491,0.0,0.0,0.000565,0.031101,1
17,4,8,1,2,0.499416,650,1288,65.0,52.0,65.0,10412.163,20632.102,130,144,13.0,12.0,13.0,0.0,13.0,6.545,0.0004435645209418,0.0237816628955659,64.0,0.0,0.0,1.0,0.545,0.0,0.0,0.0,509.0,502.0,0.495,0.0,0.0,0.000407,0.049886,1
16,3,7,0,2,0.480194,2374,1866,52.0,52.0,59.35,39550.67,31087.427,294,306,13.0,13.0,0.0,0.0,7.35,10.2,0.0122914130871112,0.0165359727267561,64.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,503.05,506.2,0.2,0.0,0.0,0.023484,0.028977,1
16,4,7,1,2,0.499285,1040,1336,65.0,52.0,65.0,16663.828,21406.61,208,192,13.0,12.0,13.0,0.0,13.0,8.727,0.0005138079325358,0.0237579005105154,64.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,509.0,502.0,0.492,0.001,0.0,0.000548,0.048856,1
17,4,8,1,2,0.048143,650,720,65.0,52.0,65.0,108011.647,119643.67,130,96,13.0,12.0,13.0,0.0,13.0,8.0,0.0004700024922688,0.0043450702320445,64.0,0.0,0.0,1.0,0.667,0.0,0.0,0.0,509.0,502.0,0.044,0.0,0.0,0.000553,0.007711,1
16,3,7,0,2,0.47996,2478,1866,52.0,52.0,59.0,41303.441,31102.591,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116903200382139,0.0165300615902604,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.001,0.0,0.020303,0.028895,1
16,4,7,1,2,0.499961,1170,1856,65.0,52.0,65.0,18721.453,29698.306,234,192,13.0,12.0,13.0,0.0,13.0,6.0,0.0294094225939582,0.0160946461462205,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.491,0.001,0.0,0.000606,0.031095,1
17,4,8,1,2,0.499693,650,1288,65.0,52.0,65.0,10406.39,20620.663,130,144,13.0,12.0,13.0,0.0,13.0,6.545,0.0004824532402886,0.0237948553902762,64.0,0.0,0.0,1.0,0.545,0.0,0.0,0.0,509.0,502.0,0.495,0.0,0.0,0.000502,0.049876,1
16,4,7,1,2,0.499826,1040,1336,65.0,52.0,65.0,16645.793,21383.441,208,192,13.0,12.0,13.0,0.0,13.0,8.727,0.0332455476125081,0.0237636566162109,64.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,509.0,502.0,0.491,0.0,0.0,0.000602,0.059556,1
17,4,8,1,2,0.499854,780,1160,65.0,52.0,65.0,12483.648,18565.425,156,120,13.0,12.0,13.0,0.0,13.0,6.0,0.0454411723396994,0.026271945551822,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.495,0.0,0.0,0.000465,0.049903,1
16,3,7,0,2,0.479369,2478,1866,52.0,52.0,59.0,41354.366,31140.939,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116763638287055,0.0165115882610452,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.001,0.0,0.020291,0.028922,1
16,4,7,1,2,0.499676,1040,1960,65.0,52.0,65.0,16650.789,31380.332,208,192,13.0,12.0,13.0,0.0,13.0,5.647,0.0332264105478922,0.0151416677417177,64.0,0.0,0.0,1.0,0.471,0.0,0.0,0.0,509.0,502.0,0.491,0.0,0.0,0.000541,0.033116,1
17,4,8,1,2,0.499929,650,952,65.0,52.0,65.0,10401.477,15234.163,130,120,13.0,12.0,13.0,0.0,13.0,7.5,0.0554194450378418,0.0333285331726074,64.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,509.0,502.0,0.495,0.0,0.0,0.000519,0.090116,1
16,3,7,0,2,0.479608,2478,1866,52.0,52.0,59.0,41333.767,31125.428,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116840455590224,0.0165192423195674,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.0,0.0,0.02236,0.028998,1
29,11,20,7,0,5e-06,180,0,60.0,52.0,60.0,284972687.001,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,2.026557922363281e-06,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,1
16,4,7,1,2,0.499923,1040,1336,65.0,52.0,65.0,16642.562,21379.291,208,192,13.0,12.0,13.0,0.0,13.0,8.727,0.0332610607147216,0.0238058112916492,64.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,509.0,502.0,0.492,0.0,0.0,0.000585,0.053678,1
17,4,8,1,2,0.499821,650,1160,65.0,52.0,65.0,10403.725,18566.647,130,120,13.0,12.0,13.0,0.0,13.0,6.0,0.0554650094774034,0.0263063154722514,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.495,0.0,0.0,0.00049,0.055401,1
16,3,7,0,2,0.479224,2478,1866,52.0,52.0,59.0,41366.875,31150.359,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116687809548726,0.0165109305546201,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.0,0.0,0.02026,0.028883,1
16,4,7,1,2,0.499789,1040,1984,65.0,52.0,65.0,16647.024,31757.399,208,216,13.0,12.0,13.0,0.0,13.0,6.353,0.0332411289215087,0.0151450922994902,64.0,0.0,0.0,1.0,0.529,0.0,0.0,0.0,509.0,502.0,0.491,0.0,0.0,0.000545,0.031102,1
17,4,8,1,2,0.499941,650,1288,65.0,52.0,65.0,10401.224,20610.426,130,144,13.0,12.0,13.0,0.0,13.0,6.545,0.0554372469584147,0.0238066741398402,64.0,0.0,0.0,1.0,0.545,0.0,0.0,0.0,509.0,502.0,0.495,0.0,0.0,0.000497,0.049895,1
16,3,7,0,2,0.478905,2374,1866,52.0,52.0,59.35,39657.134,31171.109,294,306,13.0,13.0,0.0,0.0,7.35,10.2,0.0122500260670979,0.0165139313401847,64.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,503.05,506.2,0.199,0.0,0.0,0.021306,0.028947,1
29,11,20,7,0,5e-06,180,0,60.0,52.0,60.0,284972687.001,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,2.026557922363281e-06,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,1
16,4,7,1,2,0.0477,910,976,65.0,52.0,65.0,152620.626,163689.815,182,144,13.0,12.0,13.0,0.0,13.0,9.0,0.0005059975844163,0.0031574567159016,64.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,509.0,502.0,0.041,0.0,0.0,0.000539,0.005599,1
17,4,8,1,2,0.04683,520,488,65.0,52.0,65.0,88831.973,83365.39,104,72,13.0,12.0,13.0,0.0,13.0,9.0,0.0004322869437081,0.0066032750265938,64.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,509.0,502.0,0.044,0.0,0.001,0.000441,0.011375,1
16,3,7,0,2,0.480094,1886,1476,52.0,52.0,58.938,31427.194,24595.196,222,228,13.0,13.0,0.0,0.0,6.938,9.5,0.01547348114752,0.0174409099247144,64.0,0.0,0.0,0.562,0.75,0.0,0.0,0.0,503.312,505.5,0.199,0.001,0.0,0.0147,0.036677,1
16,4,7,1,2,0.010211,1040,1856,65.0,52.0,65.0,814804.59,1454112.806,208,192,13.0,12.0,13.0,0.0,13.0,6.0,0.0005914688110351,0.000329356039724,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000561,0.000547,1
17,4,8,1,2,0.005793,650,1160,65.0,52.0,65.0,897650.178,1601960.318,130,120,13.0,12.0,13.0,0.0,13.0,6.0,0.000533209906684,0.0003048369759007,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000537,0.000491,1
29,11,20,7,0,5e-06,180,0,60.0,52.0,60.0,284972687.001,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,2.026557922363281e-06,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,1
16,3,7,0,2,0.40423,2348,1634,52.0,52.0,58.7,46468.603,32338.031,268,282,13.0,13.0,0.0,0.0,6.7,10.846,0.010364844248845,0.0161238002777099,64.0,0.0,0.0,0.55,0.846,0.0,0.0,0.0,502.7,506.846,0.199,0.0,0.0,0.023588,0.017042,1
16,3,7,0,2,0.478786,2478,1866,52.0,52.0,59.0,41404.716,31178.854,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116586859633282,0.0164925887666899,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.0,0.0,0.020256,0.028923,1
16,4,7,1,2,0.476491,2080,3088,65.0,52.0,65.0,34921.959,51845.678,416,384,13.0,12.0,13.0,0.0,13.0,7.385,0.015340382053006,0.0093429415833716,64.0,0.0,0.0,1.0,0.615,0.0,0.0,0.0,509.0,502.0,0.456,0.0,0.0,0.000581,0.020455,1
17,4,8,1,2,0.470052,1300,2320,65.0,52.0,65.0,22125.221,39485.009,260,240,13.0,12.0,13.0,0.0,13.0,6.0,0.0246950450696443,0.0120525849171173,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.459,0.0,0.0,0.000509,0.026878,1
16,4,7,1,2,0.499896,1040,1464,65.0,52.0,65.0,16643.459,23428.869,208,216,13.0,12.0,13.0,0.0,13.0,9.0,0.0005114078521728,0.0217345693837041,64.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,509.0,502.0,0.492,0.0,0.0,0.000523,0.048857,1
17,4,8,1,2,0.048588,650,848,65.0,52.0,65.0,107022.125,139622.711,130,120,13.0,12.0,13.0,0.0,13.0,8.571,0.0004596710205078,0.0037374679858867,64.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,509.0,502.0,0.044,0.0,0.0,0.000454,0.007787,1
16,3,7,0,2,0.479665,2374,1866,52.0,52.0,59.35,39594.313,31121.73,294,306,13.0,13.0,0.0,0.0,7.35,10.2,0.0122748949588873,0.0165206892737026,64.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,503.05,506.2,0.2,0.001,0.0,0.023514,0.028907,1
16,4,7,1,2,0.499834,1170,1856,65.0,52.0,65.0,18726.213,29705.856,234,192,13.0,12.0,13.0,0.0,13.0,6.0,0.0294019474702722,0.0160956459660683,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.491,0.0,0.0,0.000549,0.031122,1
17,4,8,1,2,0.499916,780,1288,65.0,52.0,65.0,12482.1,20611.467,156,144,13.0,12.0,13.0,0.0,13.0,6.545,0.0453962629491632,0.0237700485047839,64.0,0.0,0.0,1.0,0.545,0.0,0.0,0.0,509.0,502.0,0.494,0.0,0.0,0.000589,0.049798,1
16,3,7,0,2,0.479213,2478,1866,52.0,52.0,59.0,41367.822,31151.072,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.011674974022842,0.0165071076360242,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.0,0.0,0.020245,0.028947,1
16,4,7,1,2,0.499891,1040,1336,65.0,52.0,65.0,16643.625,21380.657,208,192,13.0,12.0,13.0,0.0,13.0,8.727,0.0332619349161783,0.0237683341616675,64.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,509.0,502.0,0.492,0.0,0.0,0.000519,0.059687,1
17,4,8,1,2,0.499951,650,848,65.0,52.0,65.0,10401.016,13569.325,130,120,13.0,12.0,13.0,0.0,13.0,8.571,0.0554514461093478,0.0384148450998159,64.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,509.0,502.0,0.495,0.0,0.001,0.000471,0.108261,1
16,3,7,0,2,0.479952,2478,1866,52.0,52.0,59.0,41304.139,31103.116,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.01168482478072,0.0165303822221427,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.001,0.0,0.020305,0.028874,1
16,4,7,1,2,0.499857,1040,1960,65.0,52.0,65.0,16644.761,31368.972,208,192,13.0,12.0,13.0,0.0,13.0,5.647,0.0332373936971028,0.015147151369037,64.0,0.0,0.0,1.0,0.471,0.0,0.0,0.0,509.0,502.0,0.492,0.0,0.0,0.000481,0.033183,1
17,4,8,1,2,0.499761,650,1264,65.0,52.0,65.0,10404.97,20233.666,130,120,13.0,12.0,13.0,0.0,13.0,5.455,0.0554293261633978,0.0237981024242582,64.0,0.0,0.0,1.0,0.455,0.0,0.0,0.0,509.0,502.0,0.495,0.0,0.0,0.000523,0.055346,1
16,3,7,0,2,0.478854,2478,1866,52.0,52.0,59.0,41398.82,31174.414,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116638323155845,0.0164948989605081,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.0,0.0,0.020217,0.028917,1
16,4,7,1,2,0.499867,1040,1856,65.0,52.0,65.0,16644.427,29703.901,208,192,13.0,12.0,13.0,0.0,13.0,6.0,0.0332685311635335,0.016124709959953,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.492,0.0,0.0,0.000526,0.033152,1
17,4,8,1,2,0.499447,520,1056,65.0,52.0,65.0,8329.21,16914.702,104,120,13.0,12.0,13.0,0.0,13.0,6.667,0.0004444462912423,0.0293791855082792,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.496,0.0,0.0,0.000426,0.062376,1
16,3,7,0,2,0.480003,2374,1866,52.0,52.0,59.35,39566.425,31099.81,294,306,13.0,13.0,0.0,0.0,7.35,10.2,0.0122921772492237,0.0165345504366118,64.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,503.05,506.2,0.2,0.0,0.0,0.023441,0.028969,1
16,4,7,1,2,0.499937,1040,1776,65.0,52.0,65.0,16642.101,28419.589,208,216,13.0,12.0,13.0,0.0,13.0,7.2,0.0332433382670084,0.0172391677724904,64.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,509.0,502.0,0.491,0.0,0.0,0.000585,0.038389,1
17,4,8,1,2,0.499383,650,848,65.0,52.0,65.0,10412.849,13584.763,130,120,13.0,12.0,13.0,0.0,13.0,8.571,0.0004742410447862,0.038387683721689,64.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,509.0,502.0,0.495,0.001,0.0,0.000532,0.077289,1
29,11,20,7,0,5e-06,180,0,60.0,52.0,60.0,284972687.001,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,2.026557922363281e-06,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,1
16,4,7,1,2,0.499866,1170,1856,65.0,52.0,65.0,18725.025,29703.972,234,192,13.0,12.0,13.0,0.0,13.0,6.0,0.0294038127450382,0.0161002912828999,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.491,0.0,0.0,0.000531,0.031127,1
17,4,8,1,2,0.499777,780,1160,65.0,52.0,65.0,12485.565,18568.277,156,120,13.0,12.0,13.0,0.0,13.0,6.0,0.0454341931776566,0.0262615806178042,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.495,0.0,0.0,0.000518,0.049875,1
16,3,7,0,2,0.480204,2478,1866,52.0,52.0,59.0,41282.462,31086.794,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116933904043058,0.0165398285306733,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.001,0.0,0.022343,0.029052,1
16,4,7,1,2,0.499819,1040,1856,65.0,52.0,65.0,16646.023,29706.749,208,192,13.0,12.0,13.0,0.0,13.0,6.0,0.0332674026489257,0.0161014833757954,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.491,0.0,0.0,0.000614,0.035485,1
17,4,8,1,2,0.499923,650,848,65.0,52.0,65.0,10401.601,13570.089,130,120,13.0,12.0,13.0,0.0,13.0,8.571,0.0554731157090928,0.0384063720703125,64.0,0.0,0.0,1.0,0.714,0.0,0.0,0.0,509.0,502.0,0.496,0.0,0.001,0.000457,0.108287,1
16,3,7,0,2,0.479589,2478,1866,52.0,52.0,59.0,41335.411,31126.666,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0116817776749773,0.0165172363149708,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.0,0.0,0.020308,0.028892,1
29,11,20,7,0,5e-06,180,0,60.0,52.0,60.0,299084224.938,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,1.9073486328125e-06,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,1
16,4,7,1,2,0.04673,780,1288,65.0,52.0,65.0,133532.811,220500.335,156,144,13.0,12.0,13.0,0.0,13.0,6.545,0.0004889965057373,0.0022251946585518,64.0,0.0,0.0,1.0,0.545,0.0,0.0,0.0,509.0,502.0,0.041,0.0,0.0,0.000534,0.004893,1
17,4,8,1,2,0.004335,520,1032,65.0,52.0,65.0,959636.903,1904510.162,104,96,13.0,12.0,13.0,0.0,13.0,5.333,0.0004598753792898,0.000254939584171,64.0,0.0,0.0,1.0,0.444,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000436,0.000456,1
16,3,7,0,2,0.480769,2478,1866,52.0,52.0,59.0,41233.943,31050.257,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0117119056422535,0.0165586882624132,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.001,0.0,0.020343,0.028962,1
27,7,18,4,1,1e-06,40,0,40.0,52.0,40.0,320000000.0,0.0,8,0,8.0,12.0,8.0,0.0,8.0,6.75,0.0113731942525724,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,1
16,4,7,1,2,0.010272,1040,1856,65.0,52.0,65.0,809963.139,1445472.68,208,192,13.0,12.0,13.0,0.0,13.0,6.0,0.000610335667928,0.0003313249157321,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.00055,0.000565,1
17,4,8,1,2,0.005931,650,1160,65.0,52.0,65.0,876757.133,1564674.268,130,120,13.0,12.0,13.0,0.0,13.0,6.0,0.0005593299865722,0.0003121024683902,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000492,0.000545,1
16,3,7,0,2,0.479391,2478,1866,52.0,52.0,59.0,41352.453,31139.499,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.01167751521599,0.0165104208321406,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.199,0.0,0.0,0.022394,0.028891,1
29,11,20,7,0,5e-06,180,0,60.0,52.0,60.0,299084224.938,0.0,0,0,0.0,12.0,0.0,0.0,0.0,6.75,1.9073486328125e-06,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,1
16,4,7,1,2,0.010287,1040,1856,65.0,52.0,65.0,808799.243,1443395.572,208,192,13.0,12.0,13.0,0.0,13.0,6.0,0.000624942779541,0.0003318017528903,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.001,0.0,0.0,0.000478,0.000605,1
17,4,8,1,2,0.499777,780,1392,65.0,52.0,65.0,12485.571,22281.943,156,144,13.0,12.0,13.0,0.0,13.0,6.0,0.0453582676974209,0.0217293863711149,64.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,509.0,502.0,0.493,0.0,0.0,0.000467,0.045343,1
16,3,7,0,2,0.480568,2478,1866,52.0,52.0,59.0,41251.188,31063.243,294,306,13.0,13.0,0.0,0.0,7.0,10.2,0.0117002696525759,0.0165525551499991,64.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,503.0,506.2,0.2,0.001,0.0,0.020323,0.028997,1
27,7,18,4,1,1e-06,40,0,40.0,52.0,40.0,320000000.0,0.0,8,0,8.0,12.0,8.0,0.0,8.0,6.75,0.0113731942525724,0.0161014526121078,64.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,509.0,502.0,0.2,0.0,0.0,0.000553,0.028963,1
16,4,7,1,2,0.49983,1040,1776,65.0,52.0,65.0,16645.658,28425.662,208,216,13.0,12.0,13.0,0.0,13.0,7.2,0.0005380153656005,0.0172354846165098,64.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,509.0,502.0,0.491,0.0,0.0,0.000494,0.038448,1
