sAddress,rAddress,sMACs,rMACs,sIPs,rIPs,protocol,startDate,endDate,start,end,startOffset,endOffset,duration,sPackets,rPackets,sBytesSum,rBytesSum,sBytesMax,rBytesMax,sBytesMin,rBytesMin,sBytesAvg,rBytesAvg,sLoad,rLoad,sPayloadSum,rPayloadSum,sPayloadMax,rPayloadMax,sPayloadMin,rPayloadMin,sPayloadAvg,rPayloadAvg,sInterPacketAvg,rInterPacketAvg,sttl,rttl,sAckRate,rAckRate,sUrgRate,rUrgRate,sFinRate,rFinRate,sPshRate,rPshRate,sSynRate,rSynRate,sRstRate,rRstRate,sWinTCP,rWinTCP,sFragmentRate,rFragmentRate,sAckDelayMax,rAckDelayMax,sAckDelayMin,rAckDelayMin,sAckDelayAvg,rAckDelayAvg,IT_B_Label,IT_M_Label,NST_B_Label,NST_M_Label
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:35.102352,2023-03-10 10:29:35.102356,1678440575.102352,1678440575.102356,1.023529,1.023533,5e-06,3,0,180,0,60,,60,,60.0,,284972687.001,0.0,0,0,0,,0,,0.0,,2.0265579223632812e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
198.18.134.11,198.18.134.12,b8:27:eb:6d:4f:4b,b8:27:eb:5b:50:19,198.18.134.11,198.18.134.12,IPV4-TCP,2023-03-10 10:29:35.886381,2023-03-10 10:29:36.365869,1678440575.886381,1678440576.365869,1.807558,2.287046,0.479489,42,30,2478,1866,65,65,52,52,59.0,62.2,41344.003,31133.135,294,306,13,13,0,0,7.0,10.2,0.01167709652970477,0.016515452286292767,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.197,0.199,0.001,0.0,0.02236,0.028915,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:35.949071,2023-03-10 10:29:36.425650,1678440575.949071,1678440576.42565,1.870248,2.346827,0.47658,32,64,2080,3712,65,64,65,52,65.0,58.0,34915.443,62310.636,416,384,13,12,13,0,13.0,6.0,0.015348488284695533,0.007564745252094571,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.457,0.0,0.0,0.000553,0.015255,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:35.960310,2023-03-10 10:29:36.430857,1678440575.96031,1678440576.430857,1.881487,2.352034,0.470548,20,36,1300,2112,65,64,65,52,65.0,58.667,22101.892,35907.073,260,240,13,12,13,0,13.0,6.667,0.024728636992605108,0.013444198880876813,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.556,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.002,0.458,0.0,0.0,0.00065,0.029895,0,Normal,0,Normal
198.18.134.11,198.18.134.12,b8:27:eb:6d:4f:4b,b8:27:eb:5b:50:19,198.18.134.11,198.18.134.12,IPV4-TCP,2023-03-10 10:29:36.485844,2023-03-10 10:29:36.965010,1678440576.485844,1678440576.96501,2.407021,2.886187,0.479167,42,30,2478,1866,65,65,52,52,59.0,62.2,41371.795,31154.063,294,306,13,13,0,0,7.0,10.2,0.011674927502143674,0.016505142738079202,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.197,0.2,0.0,0.0,0.020219,0.02896,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:36.916543,2023-03-10 10:29:36.966284,1678440576.916543,1678440576.966284,2.83772,2.887461,0.049742,16,22,1040,1336,65,64,65,52,65.0,60.727,167262.977,214868.594,208,192,13,12,13,0,13.0,8.727,0.0005002657572428386,0.0023686204637799945,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.042,0.0,0.0,0.000504,0.004641,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:36.925104,2023-03-10 10:29:36.930035,1678440576.925104,1678440576.930035,2.846281,2.851212,0.004932,10,20,650,1160,65,64,65,52,65.0,58.0,1054293.805,1881508.945,130,120,13,12,13,0,13.0,6.0,0.00045190917121039494,0.00025953744587145353,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.001,0.0,0.0,0.000507,0.00038,0,Normal,0,Normal
198.18.134.11,198.18.134.12,b8:27:eb:6d:4f:4b,b8:27:eb:5b:50:19,198.18.134.11,198.18.134.12,IPV4-TCP,2023-03-10 10:29:37.085837,2023-03-10 10:29:37.564980,1678440577.085837,1678440577.56498,3.007014,3.486157,0.479144,40,30,2374,1866,65,65,52,52,59.35,62.2,39637.341,31155.551,294,306,13,13,0,0,7.35,10.2,0.01226184918330266,0.01650434526903876,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,503.05,506.2,0.0,0.0,0.196,0.199,0.001,0.0,0.023458,0.028926,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:37.416586,2023-03-10 10:29:37.916532,1678440577.416586,1678440577.916532,3.337763,3.837709,0.499947,16,34,1040,1984,65,64,65,52,65.0,58.353,16641.76,31747.358,208,216,13,12,13,0,13.0,6.353,0.0005374749501546224,0.015149882345488577,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.529,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.491,0.0,0.0,0.000565,0.031101,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:37.425955,2023-03-10 10:29:37.925370,1678440577.425955,1678440577.92537,3.347132,3.846547,0.499416,10,22,650,1288,65,64,65,52,65.0,58.545,10412.163,20632.102,130,144,13,12,13,0,13.0,6.545,0.00044356452094184025,0.023781662895565943,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.545,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.495,0.0,0.0,0.000407,0.049886,0,Normal,0,Normal
198.18.134.11,198.18.134.12,b8:27:eb:6d:4f:4b,b8:27:eb:5b:50:19,198.18.134.11,198.18.134.12,IPV4-TCP,2023-03-10 10:29:37.685572,2023-03-10 10:29:38.165765,1678440577.685572,1678440578.165765,3.606749,4.086942,0.480194,40,30,2374,1866,65,65,52,52,59.35,62.2,39550.67,31087.427,294,306,13,13,0,0,7.35,10.2,0.012291413087111253,0.01653597272675613,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,503.05,506.2,0.0,0.0,0.197,0.2,0.0,0.0,0.023484,0.028977,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:37.917116,2023-03-10 10:29:38.416400,1678440577.917116,1678440578.4164,3.838293,4.337577,0.499285,16,22,1040,1336,65,64,65,52,65.0,60.727,16663.828,21406.61,208,192,13,12,13,0,13.0,8.727,0.0005138079325358073,0.023757900510515486,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.492,0.001,0.0,0.000548,0.048856,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:37.926004,2023-03-10 10:29:37.974146,1678440577.926004,1678440577.974146,3.847181,3.895323,0.048143,10,12,650,720,65,64,65,52,65.0,60.0,108011.647,119643.67,130,96,13,12,13,0,13.0,8.0,0.0004700024922688802,0.004345070232044567,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.667,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.044,0.0,0.0,0.000553,0.007711,0,Normal,0,Normal
198.18.134.11,198.18.134.12,b8:27:eb:6d:4f:4b,b8:27:eb:5b:50:19,198.18.134.11,198.18.134.12,IPV4-TCP,2023-03-10 10:29:38.286168,2023-03-10 10:29:38.766127,1678440578.286168,1678440578.766127,4.207345,4.687304,0.47996,42,30,2478,1866,65,65,52,52,59.0,62.2,41303.441,31102.591,294,306,13,13,0,0,7.0,10.2,0.011690320038213962,0.01653006159026047,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.197,0.199,0.001,0.0,0.020303,0.028895,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:38.417328,2023-03-10 10:29:38.917288,1678440578.417328,1678440578.917288,4.338505,4.838465,0.499961,18,32,1170,1856,65,64,65,52,65.0,58.0,18721.453,29698.306,234,192,13,12,13,0,13.0,6.0,0.029409422593958238,0.016094646146220547,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.491,0.001,0.0,0.000606,0.031095,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:38.426062,2023-03-10 10:29:38.925754,1678440578.426062,1678440578.925754,4.347239,4.846931,0.499693,10,22,650,1288,65,64,65,52,65.0,58.545,10406.39,20620.663,130,144,13,12,13,0,13.0,6.545,0.0004824532402886285,0.023794855390276228,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.545,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.495,0.0,0.0,0.000502,0.049876,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:38.917565,2023-03-10 10:29:39.417390,1678440578.917565,1678440579.41739,4.838742,5.338567,0.499826,16,22,1040,1336,65,64,65,52,65.0,60.727,16645.793,21383.441,208,192,13,12,13,0,13.0,8.727,0.033245547612508135,0.023763656616210938,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.491,0.0,0.0,0.000602,0.059556,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:38.926418,2023-03-10 10:29:39.426271,1678440578.926418,1678440579.426271,4.847595,5.347448,0.499854,12,20,780,1160,65,64,65,52,65.0,58.0,12483.648,18565.425,156,120,13,12,13,0,13.0,6.0,0.045441172339699486,0.02627194555182206,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.495,0.0,0.0,0.000465,0.049903,0,Normal,0,Normal
198.18.134.11,198.18.134.12,b8:27:eb:6d:4f:4b,b8:27:eb:5b:50:19,198.18.134.11,198.18.134.12,IPV4-TCP,2023-03-10 10:29:38.886226,2023-03-10 10:29:39.365594,1678440578.886226,1678440579.365594,4.807403,5.286771,0.479369,42,30,2478,1866,65,65,52,52,59.0,62.2,41354.366,31140.939,294,306,13,13,0,0,7.0,10.2,0.011676363828705578,0.01651158826104526,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.197,0.199,0.001,0.0,0.020291,0.028922,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:39.417718,2023-03-10 10:29:39.917393,1678440579.417718,1678440579.917393,5.338895,5.83857,0.499676,16,34,1040,1960,65,64,65,52,65.0,57.647,16650.789,31380.332,208,192,13,12,13,0,13.0,5.647,0.03322641054789225,0.015141667741717714,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.471,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.491,0.0,0.0,0.000541,0.033116,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:39.426512,2023-03-10 10:29:39.926440,1678440579.426512,1678440579.92644,5.347689,5.847617,0.499929,10,16,650,952,65,64,65,52,65.0,59.5,10401.477,15234.163,130,120,13,12,13,0,13.0,7.5,0.0554194450378418,0.03332853317260742,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.625,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.495,0.0,0.0,0.000519,0.090116,0,Normal,0,Normal
198.18.134.11,198.18.134.12,b8:27:eb:6d:4f:4b,b8:27:eb:5b:50:19,198.18.134.11,198.18.134.12,IPV4-TCP,2023-03-10 10:29:39.485661,2023-03-10 10:29:39.965268,1678440579.485661,1678440579.965268,5.406838,5.886445,0.479608,42,30,2478,1866,65,65,52,52,59.0,62.2,41333.767,31125.428,294,306,13,13,0,0,7.0,10.2,0.011684045559022485,0.01651924231956745,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.198,0.2,0.0,0.0,0.02236,0.028998,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:36.126358,2023-03-10 10:29:36.126362,1678440576.126358,1678440576.126362,2.047535,2.047539,5e-06,3,0,180,0,60,,60,,60.0,,284972687.001,0.0,0,0,0,,0,,0.0,,2.0265579223632812e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:39.917767,2023-03-10 10:29:40.417689,1678440579.917767,1678440580.417689,5.838944,6.338866,0.499923,16,22,1040,1336,65,64,65,52,65.0,60.727,16642.562,21379.291,208,192,13,12,13,0,13.0,8.727,0.03326106071472168,0.02380581129164923,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.727,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.492,0.0,0.0,0.000585,0.053678,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:39.926723,2023-03-10 10:29:40.426543,1678440579.926723,1678440580.426543,5.8479,6.34772,0.499821,10,20,650,1160,65,64,65,52,65.0,58.0,10403.725,18566.647,130,120,13,12,13,0,13.0,6.0,0.05546500947740343,0.02630631547225149,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.495,0.0,0.0,0.00049,0.055401,0,Normal,0,Normal
198.18.134.11,198.18.134.12,b8:27:eb:6d:4f:4b,b8:27:eb:5b:50:19,198.18.134.11,198.18.134.12,IPV4-TCP,2023-03-10 10:29:40.086059,2023-03-10 10:29:40.565282,1678440580.086059,1678440580.565282,6.007236,6.486459,0.479224,42,30,2478,1866,65,65,52,52,59.0,62.2,41366.875,31150.359,294,306,13,13,0,0,7.0,10.2,0.01166878095487269,0.016510930554620152,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.571,0.8,0.0,0.0,0.0,0.0,503.0,506.2,0.0,0.0,0.197,0.199,0.0,0.0,0.02026,0.028883,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:40.418046,2023-03-10 10:29:40.917834,1678440580.418046,1678440580.917834,6.339223,6.839011,0.499789,16,34,1040,1984,65,64,65,52,65.0,58.353,16647.024,31757.399,208,216,13,12,13,0,13.0,6.353,0.03324112892150879,0.015145092299490265,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.529,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.491,0.0,0.0,0.000545,0.031102,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:40.426884,2023-03-10 10:29:40.926824,1678440580.426884,1678440580.926824,6.348061,6.848001,0.499941,10,22,650,1288,65,64,65,52,65.0,58.545,10401.224,20610.426,130,144,13,12,13,0,13.0,6.545,0.05543724695841471,0.02380667413984026,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.545,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.495,0.0,0.0,0.000497,0.049895,0,Normal,0,Normal
198.18.134.11,198.18.134.12,b8:27:eb:6d:4f:4b,b8:27:eb:5b:50:19,198.18.134.11,198.18.134.12,IPV4-TCP,2023-03-10 10:29:40.685892,2023-03-10 10:29:41.164796,1678440580.685892,1678440581.164796,6.607069,7.085973,0.478905,40,30,2374,1866,65,65,52,52,59.35,62.2,39657.134,31171.109,294,306,13,13,0,0,7.35,10.2,0.012250026067097982,0.016513931340184706,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,503.05,506.2,0.0,0.0,0.197,0.199,0.0,0.0,0.021306,0.028947,0,Normal,0,Normal
b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,b8:27:eb:15:88:9c,ff:ff:ff:ff:ff:ff,,,ARP,2023-03-10 10:29:40.222633,2023-03-10 10:29:40.222637,1678440580.222633,1678440580.222637,6.14381,6.143814,5e-06,3,0,180,0,60,,60,,60.0,,284972687.001,0.0,0,0,0,,0,,0.0,,2.0265579223632812e-06,,,,,,,,,,,,,,,,,,,,,,,,,,0,Normal,0,Normal
198.18.134.11,198.18.134.15,b8:27:eb:6d:4f:4b,b8:27:eb:15:88:9c,198.18.134.11,198.18.134.15,IPV4-TCP,2023-03-10 10:29:40.918474,2023-03-10 10:29:40.966173,1678440580.918474,1678440580.966173,6.839651,6.88735,0.0477,14,16,910,976,65,64,65,52,65.0,61.0,152620.626,163689.815,182,144,13,12,13,0,13.0,9.0,0.0005059975844163161,0.003157456715901693,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.001,0.041,0.0,0.0,0.000539,0.005599,0,Normal,0,Normal
198.18.134.12,198.18.134.15,b8:27:eb:5b:50:19,b8:27:eb:15:88:9c,198.18.134.12,198.18.134.15,IPV4-TCP,2023-03-10 10:29:40.927342,2023-03-10 10:29:40.974171,1678440580.927342,1678440580.974171,6.848519,6.895348,0.04683,8,8,520,488,65,64,65,52,65.0,61.0,88831.973,83365.39,104,72,13,12,13,0,13.0,9.0,0.0004322869437081473,0.00660327502659389,64.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,509.0,502.0,0.0,0.0,0.0,0.044,0.0,0.001,0.000441,0.011375,0,Normal,0,Normal
